company, nick, percent
IMIP, IMIP, 50
PT Vale Indonesia Tbk, Vale, 22
PT Virtual Dragon Nickel Industry, VD, 11
Harita Group, Harita, 6
PT Aneka Tambang Tbk, Antam, 6
Lainnya, Lainnya, 6
