code,country_region,hari,date,retail,grocery,parks,transit,work,home,kasus,keterangan
NZ,New Zealand,Minggu,4/5/2020,-90,-48,-74,-84,-57,21,1039,
NZ,New Zealand,Senin,4/6/2020,-88,-39,-71,-85,-70,30,1106,
NZ,New Zealand,Selasa,4/7/2020,-88,-35,-67,-85,-74,33,1160,
NZ,New Zealand,Rabu,4/8/2020,-87,-31,-74,-85,-74,33,1210,
NZ,New Zealand,Kamis,4/9/2020,-86,-18,-77,-85,-73,33,1239,
NZ,New Zealand,Jumat,4/10/2020,-95,-91,-68,-89,-88,42,1283,
NZ,New Zealand,Sabtu,4/11/2020,-88,-33,-75,-82,-58,24,1312,
NZ,New Zealand,Minggu,4/12/2020,-92,-59,-77,-85,-59,22,1330,
NZ,New Zealand,Senin,4/13/2020,-91,-45,-76,-89,-85,34,1349,
NZ,New Zealand,Selasa,4/14/2020,-89,-37,-77,-87,-74,34,1366,
NZ,New Zealand,Rabu,4/15/2020,-88,-36,-76,-86,-73,34,1386,
NZ,New Zealand,Kamis,4/16/2020,-89,-35,-75,-86,-72,34,1401,
NZ,New Zealand,Jumat,4/17/2020,-90,-37,-81,-87,-72,37,1409,
NZ,New Zealand,Sabtu,4/18/2020,-91,-45,-77,-84,-57,25,1422,
NZ,New Zealand,Minggu,4/19/2020,-91,-50,-77,-85,-55,21,1431,
NZ,New Zealand,Senin,4/20/2020,-89,-42,-71,-85,-68,29,1440,
NZ,New Zealand,Selasa,4/21/2020,-87,-36,-66,-85,-71,33,1445,
NZ,New Zealand,Rabu,4/22/2020,-87,-35,-64,-84,-70,33,1451,
NZ,New Zealand,Kamis,4/23/2020,-88,-35,-74,-85,-68,33,1451,
NZ,New Zealand,Jumat,4/24/2020,-88,-31,-68,-84,-66,35,1456,
NZ,New Zealand,Sabtu,4/25/2020,-89,-53,-69,-81,-56,24,1461,
NZ,New Zealand,Minggu,4/26/2020,-88,-37,-69,-82,-49,20,1470,
NZ,New Zealand,Senin,4/27/2020,-89,-41,-63,-87,-81,32,1469,Lockdown diturunkan menjadi tingkat 3
NZ,New Zealand,Selasa,4/28/2020,-68,-28,-48,-73,-47,22,1472,
NZ,New Zealand,Rabu,4/29/2020,-70,-30,-51,-72,-48,14,1474,
NZ,New Zealand,Kamis,4/30/2020,-81,-25,-53,-69,-46,24,1476,
NZ,New Zealand,Jumat,5/1/2020,-80,-23,-51,-69,-44,25,1479,
NZ,New Zealand,Sabtu,5/2/2020,-83,-29,-56,-65,-34,18,1485,
NZ,New Zealand,Minggu,5/3/2020,-87,-38,-72,-76,-39,18,1487,
NZ,New Zealand,Senin,5/4/2020,-80,-30,-59,-70,-37,20,1487,
NZ,New Zealand,Selasa,5/5/2020,-81,-29,-64,-72,-46,24,1486,
NZ,New Zealand,Rabu,5/6/2020,-79,-23,-48,-68,-44,23,1488,
NZ,New Zealand,Kamis,5/7/2020,-72,-25,-55,-70,-42,23,1489,
NZ,New Zealand,Jumat,5/8/2020,-70,-21,-51,-70,-40,24,1490,
NZ,New Zealand,Sabtu,5/9/2020,-71,-20,-41,-64,-27,16,1492,
NZ,New Zealand,Minggu,5/10/2020,-72,-25,-44,-68,-30,14,1494,
NZ,New Zealand,Senin,5/11/2020,-72,-33,-54,-70,-33,19,1497,Lockdown diturunkan menjadi tingkat 2
NZ,New Zealand,Selasa,5/12/2020,-70,-25,-52,-70,-40,22,1497,
NZ,New Zealand,Rabu,5/13/2020,-70,-25,-53,-68,-39,21,1497,
NZ,New Zealand,Kamis,5/14/2020,-35,-9,-45,-50,-28,15,1497,
NZ,New Zealand,Jumat,5/15/2020,-35,-8,-42,-48,-28,16,1498,
NZ,New Zealand,Sabtu,5/16/2020,-31,-8,-35,-32,-12,8,1498,
NZ,New Zealand,Minggu,5/17/2020,-34,-10,-33,-38,-17,8,1499,
NZ,New Zealand,Senin,5/18/2020,-33,-10,-39,-39,-2,8,1499,
NZ,New Zealand,Selasa,5/19/2020,-36,-10,-37,-42,-14,11,1503,
NZ,New Zealand,Rabu,5/20/2020,-29,-13,-38,-47,-14,11,1503,
NZ,New Zealand,Kamis,5/21/2020,-28,-12,-42,-47,-10,11,1503,
NZ,New Zealand,Jumat,5/22/2020,-24,-8,-39,-45,-9,11,1504,
NZ,New Zealand,Sabtu,5/23/2020,-18,-9,-33,-38,-7,7,1504,
NZ,New Zealand,Minggu,5/24/2020,-25,-15,-53,-52,-16,8,1504,
NZ,New Zealand,Senin,5/25/2020,-29,-16,-57,-48,-1,9,1504,
NZ,New Zealand,Selasa,5/26/2020,-27,-12,-41,-46,-9,10,1504,
NZ,New Zealand,Rabu,5/27/2020,-26,-12,-45,-44,-9,10,1504,
NZ,New Zealand,Kamis,5/28/2020,-24,-9,-40,-40,-5,9,1504,
NZ,New Zealand,Jumat,5/29/2020,-20,-5,-45,-40,-9,9,1504,
